Variable_no	Stimulus_no	Stimulus	Variable_type	Variable_subtype	Context	Values	Variable_comms
1	1	Девочка положила яблоко в карман.	lexical	suppletion	'girl': "brata", "cəcca"	[brata], [cecca]	Phonetic form of the lexeme chosen is irrelevant
2	1	Девочка положила яблоко в карман.	phonetic	diphthongization	'apple': "xabuyša", "xabuša"	[u], [uy]	The same variable is also registered in sentence #9 (but the results can be different)
3	1	Девочка положила яблоко в карман.	phonetic	diphthongization	'pocket': "ǧiba", "ǧayba"	[monophthong], [diphthong]	Typically, the actual contrast is between [i] and [ay], but realizations like [ey] count as [diphthong] on a par with [ay]. Realization of the consonant is irrelevant.
4	1	Девочка положила яблоко в карман.	lexical	alternation	'pocket': "ǧiba", "čiba"	[g], [c]	What is relevant is +/- voicing of the first consonant, not the vowel
5	2	Утром мама ушла в школу.	lexical	suppletion	'morning: "kedamta", "mor(i)ša"	[kedamta], [morsa]	Whether the actual realization is "morša" or "moriša" is irrelevant
6	2	Утром мама ушла в школу.	lexical	suppletion	'mother': "yəmma", "da(ha)", "mama"	[yemma], [daha], [mama]	Whether the actual realization is "da" or "daha" (etc.) is irrelevant
7	2	Утром мама ушла в школу.	morphological	irregular_verb_stems	'went': "xəš-", "zəl-"	[xes], [zel]	
8	2	Утром мама ушла в школу.	lexical	suppletion	'school': "madrašta", "madrasa", "uškol", "škola"	[uskol], [madrasta], [madrasa], [skola]	"uškol" is a Russian loanword; "madrašta" is a native word; "madrasa" is an Arabic/Persian loanword; the latter two variants are mainly differentiated based on whether there is a "t" sound
9	3	Завтра мальчик должен встать рано.	lexical	alternation	'must': "gar", "garəc", "garət", etc.	[garec], [garet], [gar]	What is relevant is the presence an nature of the third consonant (t vs. c vs. 0). It can be problematic to distinguish "t" vs. "c" (these values can be collapsed later). The actual realization of the first consonant etc. is irrelevant
10	3	Завтра мальчик должен встать рано.	phonetic	consonant	'must' (gar(ət/c)): the first consonant can be pronounced as a voiced [velar] stop like "g", as a voiced [palatal] stop like "ɟ" , or as a voiced (palatal, postalveolar or the like) affricate, more or less like d͡ʒ in IPA (cf. "jump"); basically the same variable is in example 3	[velar], [palatal], [affricate]	The same variable is in sentence #12. Whether there is a second syllable in 'must' is irrelevant.
11	3	Завтра мальчик должен встать рано.	morphological	regular_verb_stem	'to wake, rise', 3M present form: "kayəm", "kam", "kem"	[kayem], [kam], [kem]	Possible augment -ni is irrelevant.
12	3	Завтра мальчик должен встать рано.	morphological	person_conjugation	presence vs. absence of an augment: sth. like "kam" vs. "kamni"	[0], [ni]	The form of the stem as such is irrelevant. The same variable is in sentence #13.
13	4	Вон люди собираются у магазина.	syntactic	indexing	index doubling on the progressive form in constructions with far deictic copula, sth. like ven(a) +bəǧmayən(a) [cop], ven(a) +bəǧmaya [zero]	[cop], [0]	
14	4	Вон люди собираются у магазина.	morphological	pattern	'gather', progressive: +bəǧma(yə) [I], +ǧammu... [II]	[I], [II]	
15	4	Вон люди собираются у магазина.	phonetic	consonant	'at, near' "сəs": the first consonant can be pronounced as a voiceless [velar] stop like "k", as a voiceless [palatal] stop like "c", as a voiceless (palatal, postalveolar or the like) [affricate], more or less like t͡ʃ in IPA (cf. chair)	[velar], [palatal], [affricate]	The same variable is in sentence #8. The same word is also expected to be used in 16
16	4	Вон люди собираются у магазина.	lexical	suppletion	'shop': "kooperativ", "duccana/dəccana", "magazin", "xamut"	[kooperativ], [duccana], [xamut], [magazin]	
17	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	'rain': "+mu/ətra" vs. "+aryana"	[mutra], [aryana]	
18	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	the verb used with the subject 'rain': e.g. "bərrəxšəla" vs. "bitayəla" vs. "+bərayyəla"	[azel], [ate], [rayye]	What is relevant is the lexeme chosen: 'come' (atə; progressive "bita(yə)la" etc.), 'go' (azəl; progressive "bizaləla", "bərrəxšəla", "brəššəla" etc.) vs. specialized 'rain' (rayyə; progressive "+bərayyəla")
19	5	Идет дождь, и дети не играют на нашей улице.	lexical	simplification	'children': sth. like "yalə surə" (l-sound present) vs. sth. like "yasurə" (l-sound absent)	[0], [l]	There are many actual variants. The relevant feature is the prence of "l". However, we try to register specific realization as a comment
20	5	Идет дождь, и дети не играют на нашей улице.	morphological	person_conjugation	negative 3PL copula: "lena" vs. "len"	[lena], [len]	
21	5	Идет дождь, и дети не играют на нашей улице.	morphological	pattern	'play', progressive: "bəṭola" [I], "ṭavulə" [II]	[I], [II]	
22	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	'street': "+alula", "cúča"	[alula], [cuca]	The use of "gav +tarra" 'outside' is not precise (n.a.); try to elicit either "+alula" or "cúča" for street
23	6	Мой друг упал и сломал руку	phonetic	monophthongization	'my friend': "+xavri", "+xori"	[av], [o]	
24	6	Мой друг упал и сломал руку	syntactic	possessive constructions	my friend': suffixal (e.g. "+xavri") vs. analytic (e.g. "+xavra di(yi)")	[suffix], [analytic]	
25	6	Мой друг упал и сломал руку	lexical	suppletion	'break', pst: "šməṭ-lə", "tvər-rə"	[samet], [taver]	
26	6	Мой друг упал и сломал руку	lexical	suppletion	"ida" vs. "drana"	[ida], [drana]	Possessive suffixes are irrelevant (e.g. "idu")
27	7	Бабушка рассказывает сказку.	morphological	regular_verb_stem	'to tell', progressive: "haku...", "huku..."	[a], [u]	The third consonant is irrelevant
28	7	Бабушка рассказывает сказку.	morphological	regular_verb_stem	'to tell', progressive, third consonant, e.g. "hakuyəla", "hakuvvəla"	[y], [v]	The vowel in the first syllable is irrelevant
29	7	Бабушка рассказывает сказку.	lexical	alternation	'story, fairytale': "mətla", "məttəlta"	[metla], [mettelta]	
30	8	Раньше все женщины пекли хлеб дома.	lexical	alternation	'earlier, before': "kamaya", "kamta", "kameta"	[kamaya], [kamta], [kameta]	
31	8	Раньше все женщины пекли хлеб дома.	phonetic	consonant	'all', "cullə": the first consonant can be pronounced as a voiceless [velar] stop like "k", as a voiceless [palatal] stop like "c", as a voiceless (palatal, postalveolar or the like) [affricate], more or less like t͡ʃ in IPA (cf. chair)	[velar], [palatal], [affricate]	The same variable is in sentence #4.
32	8	Раньше все женщины пекли хлеб дома.	morphological	nominal_plural	'women': "baxtátə", "baxtáyə", "baxtáy", "baxtá"	[baxtate], [baxtaye], [baxtay], [baxta]	Corresponds to the 4 stages discussed in (Say 2021)
33	8	Раньше все женщины пекли хлеб дома.	morphological	habitual	habitual prefix in the form [ci] or [i] is expected to be used before the present stem of "bake", e.g. "ci-payyiva" or "i-payyiva"	[ci], [i]	Some speakers prefer to use the ordinary progressive form e.g., "bipyayəva", "pyayəva". In this case, it is advised to try to elicit the habitual suffix. If the speaker sticks to the progressive form, use "n.a."
34	8	Раньше все женщины пекли хлеб дома.	lexical	alternation	'house': "beta", "biyya"	[beta], [biyya]	
35	9	Я смотрю на гору, но ничего не вижу.	lexical	suppletion	'look': "gašukən", "pacurən", "bəxyarən"	[gasek], [pacer], [xayer], [xazze]	
36	9	Я смотрю на гору, но ничего не вижу.	phonetic	diphthongization	'mountain': "+ṭuyra", "+ṭura"	[u], [uy]	The same variable is also registered in sentence #1
37	9	Я смотрю на гору, но ничего не вижу.	lexical	suppletion	negative marker: "həc (məndi)", "cu (məndi)"	[hec], [cu]	The same variable is in sentence #13 (but the results can be different)
38	9	Я смотрю на гору, но ничего не вижу.	morphological	person_conjugation	negative 1SG copula: "len" vs. "lena"	[len], [lena]	
39	10	Моя дочь написала ему письмо.	phonetic	vowel_quality	'girl, daughter': "brata", "brita"	[a], [i]	
40	10	Моя дочь написала ему письмо.	lexical	alternation	preposition "to" before possessive markers: "katu", "kalu", "+talu"	[katu], [kalu], [talu], [tel]	I am not sure about the "+" in "+talu". The variant tagged as [tel] is actually somthing like "ṭəl", "ṭəle", or "ṭəlu". If something like "ka diyyu" is used (analytic construction rather than an inflected preposition), then it is n.a.
41	10	Моя дочь написала ему письмо.	phonetic	monophthongization	'write', pst: "ctəvla" vs. "ctula" (or resultative: ctəvtəla vs. ctutəla)	[ev], [u]	
42	11	Положите цветы на стол.	morphological	person_conjugation	plural imperative marker: e.g. "mattimun" vs. "mattimux"	[ux], [un]	What is relevant is the "x" vs. "n" contrast. Note that the plural imperative suffix begins with "m" in case the singular imperative form ends in a vowel (Khan, I, 304). The vowels of the stem as well as the shape of the potential L-suffix is irrelevant
43	11	Положите цветы на стол.	lexical	suppletion	'flowers': "vardə", "bublə"	[varda], [bubla]	
44	11	Положите цветы на стол.	lexical	suppletion	preposition 'onto': "+al", "riš"	[al], [ris]	
45	12	Во дворе мужчины жарят мясо.	phonetic	consonant	'in', "gav"/"gu": the first consonant can be pronounced as a voiced [velar] stop like "g", as a voiced [palatal] stop like "ɟ" , or as a voiced (palatal, postalveolar or the like) affricate, more or less like d͡ʒ in IPA (cf. "jump"); basically the same variable is in example 3	[velar], [palatal], [affricate]	The same variable is in sentence #3. Whatever follows the first consonant is irrelevant.
46	12	Во дворе мужчины жарят мясо.	phonetic	monophthongization	'in': "gav", "gu"	[av], [u]	The first consonant is irrelevant.
47	12	Во дворе мужчины жарят мясо.	morphological	pattern	'fry', progressive: "bəklayəna" [I], "kaluyəna" [II]	[I], [II]	Sometimes, the speakers prefer to use the generalized verb to bašəl 'to cook'. It is advised to try to elicit the specific verb for 'fry, roast' (kalə) and then its progressive form
48	12	Во дворе мужчины жарят мясо.	phonetic	vowel_quality	'meat': "busra", sth. like "bəsra"	[u], [e]	What is relevant is the contrast between a clear "u" and any schwa-like realization (not necessarily coinciding with the "ə" phoneme)
49	13	— Куда они хотят пойти? — Они никому не скажут.	morphological	prothesis	'go', present (3PL form): "azi", "ṭazi"	[0], [t]	The same variable is in sentence #16 (but in some cases, the observed results are different).
50	13	— Куда они хотят пойти? — Они никому не скажут.	morphological	person_conjugation	presence vs. absence of an augment: sth. like "(ṭ)azi" vs. "(ṭ)azini"	[0], [ni]	The presence of a prothetic consonant is irrelevant. The same variable is in sentence #3.
51	13	— Куда они хотят пойти? — Они никому не скажут.	lexical	suppletion	'say', present (3PL form): "tani", "(ṭ)amri"	[tane], [amer]	
52	13	— Куда они хотят пойти? — Они никому не скажут.	lexical	suppletion	negative marker: "həc (naša)", "cu (naša)"	[hec], [cu]	The same variable is sentence #9 (but the results can be different)
53	14	У мальчика болит ухо.	lexical	suppletion	'ear': "nata", "naviyya"	[nata], [naviyya]	
54	14	У мальчика болит ухо.	morphological	regular_verb_stem	'ache', progressive: "bəmra...", "mra..."	[be], [0]	What is relevant is the presence/absence of the progressive prefix "bə-"
55	14	У мальчика болит ухо.	morphological	regular_verb_stem	'ache', progressive: "(be)mraya", "(be)mra"	[y], [0]	What is relevant is whether there is a "y" around the end of the progressive stem
56	15	В нашем селе на прошлой неделе начали сажать картошку	morphological	possessive_affixes	1PL possessive marker: "matan", "mateni"	[eni], [an]	What is relevant is the shape of the possessive suffix, not the shape of the stem for 'village'
57	15	В нашем селе на прошлой неделе начали сажать картошку	lexical	suppletion	ingressive construction: "+šurilun + V", "vilun + V", "drəšle + V"	[sare], [ave], [dares]	What is relevant is whether the specialized 'begin'-type word is used (+šarə, darəš), or an ingressive construction involving "avə" 'to be'. The actual form is irrelevant
58	15	В нашем селе на прошлой неделе начали сажать картошку	morphological	person_conjugation	3PL L-suffix: [lun], [le]	[lun], [le]	
59	16	Одна женщина хочет прийти к нам.	morphological	gender_distinction	'one': specialized feminine "xda" vs. neutralized "xa"	[xda], [xa]	
60	16	Одна женщина хочет прийти к нам.	morphological	tense_semantics	'want', simultaneity to the moment of speech: present vs. progressive	[present], [progressive]	The easiest way tell apart the progressive and the present is based on whether the copula is present, e.g. progressive "+byayyəla" (with a copula) vs. present "+bayya" (no copula)
61	16	Одна женщина хочет прийти к нам.	morphological	prothesis	'come', present stem (3F form): "atya", "[ṭ]atya"	[0], [t]	The same variable is in sentence #13 (but in some cases, the observed results are different). What is relevant is the presence/absence of the prothetic consonant, not the shape of the stem itself
62	16	Одна женщина хочет прийти к нам.	lexical	alternation	'come', present stem (3F) from: "(ṭ)atya", "(ṭ)aya"	[atya], [aya]	The presence of the prothetic consonant is irrelevant
63	17	Он может говорить по-ассирийски.	morphological	regular_verb_stem	'can', present stem: "aməs", "masə", "caməs", "cimasə", "yaməs", "imasə" (? if this exists)	[ames], [mase], [cames], [cimase], [yames], [imase]	Possible values reflect 2 (or even 3) @underlying variables: 1) position of 0 in the 3-consonantal root (aməs vs. masə); 2) the presence/absence and also the shape of the erstwhile habitual prefix (0 vs. ci- vs. i-)
64	17	Он может говорить по-ассирийски.	lexical	alternation	'Assyrian': the first consonant is t-like (e.g. "aṭurayə") vs. s-like (e.g. "surayə")	[t], [s]	Please register the actual form as acomment, because there are many specific realizations of this (plural) noun/adjective
65	18	Сыновья убежали, но мы их поймали.	morphological	nominal_plural	'Boys': "bnunə", "brunə", "bnunvatə", "brunvatə", "brunavatə"	[bnune], [brune], [bnunvate], [brunvate], [brunavate]	The "stage" of the plural reduction is irrelevant (e.g. the label [brunvate] encompasses "brunvátə", "brunváyə", "brunváy" and "brunvá")
66	18	Сыновья убежали, но мы их поймали.	lexical	alternation	'we': "axnan", "axnax", "axtan"	[axnan], [axnax], [axtan]	
67	18	Сыновья убежали, но мы их поймали.	morphological	person_conjugation	3PL object SS-suffix: "dvikélan", "dvikílan"	[i], [e]	Make sure that the form elicited is the past tense form (e.g. something like "dvik-é-lan, where -lan is the 1PL subject L-suffix). Actual forms used can be different from expectations, but what is relevant is the 3PL object S-suffix (thus, "dvik-é-lan" vs. "dvik-í-lan").